OPR_DT,day_of_month,Month,Day_of_week,OPR_HR,Fuel,Solar,Load,Import,Price,Node
5/10/2018,10,5,5,3,3.12,0,19997.52,8062,12.51859,TH_ZP26
5/10/2018,10,5,5,4,3.12,0,19734.05,8165,11.31199,TH_ZP26
5/10/2018,10,5,5,5,3.12,0,20009.09,8460,13.53827,TH_ZP26
5/10/2018,10,5,5,6,3.12,0.04,21187.47,8781.6,25.9142,TH_ZP26
5/10/2018,10,5,5,7,3.12,123.35,22885.63,9110,37.95199,TH_ZP26
5/10/2018,10,5,5,8,3.12,711.13,24173.58,8107.07,22.41358,TH_ZP26
5/10/2018,10,5,5,9,3.12,1245.81,24781.71,6866.37,13.99122,TH_ZP26
5/10/2018,10,5,5,10,3.12,1481.78,24800.85,6813.42,10.6514,TH_ZP26
5/10/2018,10,5,5,11,3.12,1623.93,25206.35,6712,10.0051,TH_ZP26
5/10/2018,10,5,5,12,3.12,1652.79,25633.41,6730,10.10525,TH_ZP26
5/10/2018,10,5,5,13,3.12,1650.63,26120.45,7028,10.96823,TH_ZP26
5/10/2018,10,5,5,14,3.12,1640.81,26863.63,7149,12.85247,TH_ZP26
5/10/2018,10,5,5,15,3.12,1624.63,27761.08,7298.08,14.16592,TH_ZP26
5/10/2018,10,5,5,16,3.12,1553.36,28163.71,7116,12.48659,TH_ZP26
5/10/2018,10,5,5,17,3.12,1398.19,28619.27,7467.24,13.21153,TH_ZP26
5/10/2018,10,5,5,18,3.12,1129.03,28918.53,7807,22.84563,TH_ZP26
5/10/2018,10,5,5,19,3.12,547.61,29010.68,8442.68,41.37869,TH_ZP26
5/10/2018,10,5,5,20,3.12,65.44,28935.44,8688,50.64318,TH_ZP26
5/10/2018,10,5,5,21,3.12,0,29132.5,9074,58.833,TH_ZP26
5/10/2018,10,5,5,22,3.12,0,28115.58,9198.6,36.45978,TH_ZP26
5/10/2018,10,5,5,23,3.12,0,25385.21,8997.2,28.08036,TH_ZP26
5/10/2018,10,5,5,24,3.12,0,23293.41,8692,23.79117,TH_ZP26
5/11/2018,11,5,6,1,3.08,0,21674.85,8707,19.82102,TH_ZP26
5/11/2018,11,5,6,2,3.08,0,20717.09,8739,13.26361,TH_ZP26
5/11/2018,11,5,6,3,3.08,0,19970.5,8693,11.81529,TH_ZP26
5/11/2018,11,5,6,4,3.08,0,19678.03,8568,11.31858,TH_ZP26
5/11/2018,11,5,6,5,3.08,0,20185.33,8686,13.18461,TH_ZP26
5/11/2018,11,5,6,6,3.08,0.03,20990.9,9257.6,27.40123,TH_ZP26
5/11/2018,11,5,6,7,3.08,109.22,22477.71,9239,29.51094,TH_ZP26
5/11/2018,11,5,6,8,3.08,652.99,23927.36,8069,24.32117,TH_ZP26
5/11/2018,11,5,6,9,3.08,1167.76,24305.31,6732,14.82985,TH_ZP26
5/11/2018,11,5,6,10,3.08,1412.91,24987.83,5916.66,12.29312,TH_ZP26
5/11/2018,11,5,6,11,3.08,1578.47,25182.38,5668,8.53229,TH_ZP26
5/11/2018,11,5,6,12,3.08,1618.43,25295.91,5507,7.01,TH_ZP26
5/11/2018,11,5,6,13,3.08,1630.39,25283.14,5296,6.8987,TH_ZP26
5/11/2018,11,5,6,14,3.08,1634.33,25586.74,5649,8.72872,TH_ZP26
5/11/2018,11,5,6,15,3.08,1618.75,25845.1,5615,9.47195,TH_ZP26
5/11/2018,11,5,6,16,3.08,1554.18,26036.68,5992,12.51956,TH_ZP26
5/11/2018,11,5,6,17,3.08,1392.76,26442.76,6854,15.16278,TH_ZP26
5/11/2018,11,5,6,18,3.08,1124.78,26829.91,7775.21,17.90275,TH_ZP26
5/11/2018,11,5,6,19,3.08,564.45,26984.14,8512.6,33.49871,TH_ZP26
5/11/2018,11,5,6,20,3.08,63.65,27161.28,8941,44.02545,TH_ZP26
5/11/2018,11,5,6,21,3.08,0,27692.84,8999.34,49.76787,TH_ZP26
5/11/2018,11,5,6,22,3.08,0,26826.66,9195.35,42.67696,TH_ZP26
5/11/2018,11,5,6,23,3.08,0,24690.44,9096,28.80368,TH_ZP26
5/11/2018,11,5,6,24,3.08,0,22824.98,8841,22.89903,TH_ZP26
5/12/2018,12,5,7,1,3.07,0,21487.78,8713,19.77344,TH_ZP26
5/12/2018,12,5,7,2,3.07,0,20419.99,8657,14.51406,TH_ZP26
5/12/2018,12,5,7,3,3.07,0,19750.08,8654,14.18049,TH_ZP26
5/12/2018,12,5,7,4,3.07,0,19628.59,8654,12.99365,TH_ZP26
5/12/2018,12,5,7,5,3.07,0,19640.7,8683,13.74318,TH_ZP26
